filename,clean_filepath,noisy_filepath,speaker,noise_type,snr,length
p227_001,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_001_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_001_16k.wav,p227,babble,15.0,65760
p227_002,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_002_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_002_16k.wav,p227,babble,10.0,62512
p227_003,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_003_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_003_16k.wav,p227,babble,5.0,129280
p227_004,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_004_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_004_16k.wav,p227,babble,0.0,80059
p227_005,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_005_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_005_16k.wav,p227,cafeteria,15.0,119040
p227_006,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_006_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_006_16k.wav,p227,cafeteria,10.0,106080
p227_008,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_008_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_008_16k.wav,p227,cafeteria,5.0,130423
p227_009,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_009_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_009_16k.wav,p227,cafeteria,0.0,81459
p227_010,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_010_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_010_16k.wav,p227,car,15.0,63200
p227_011,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_011_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_011_16k.wav,p227,car,10.0,123520
p227_012,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_012_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_012_16k.wav,p227,car,5.0,83421
p227_013,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_013_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_013_16k.wav,p227,car,0.0,78608
p227_014,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_014_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_014_16k.wav,p227,kitchen,15.0,92058
p227_015,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_015_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_015_16k.wav,p227,kitchen,10.0,103521
p227_016,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_016_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_016_16k.wav,p227,kitchen,5.0,119360
p227_017,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_017_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_017_16k.wav,p227,kitchen,0.0,56784
p227_018,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_018_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_018_16k.wav,p227,meeting,15.0,106080
p227_019,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_019_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_019_16k.wav,p227,meeting,10.0,135265
p227_020,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_020_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_020_16k.wav,p227,meeting,5.0,71752
p227_021,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_021_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_021_16k.wav,p227,meeting,0.0,158925
p227_022,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_022_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_022_16k.wav,p227,metro,15.0,118830
p227_023,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_023_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_023_16k.wav,p227,metro,10.0,196631
p227_024,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_024_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_024_16k.wav,p227,metro,5.0,120254
p227_025,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_025_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_025_16k.wav,p227,metro,0.0,48188
p227_026,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_026_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_026_16k.wav,p227,restaurant,15.0,37768
p227_027,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_027_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_027_16k.wav,p227,restaurant,10.0,43409
p227_028,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_028_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_028_16k.wav,p227,restaurant,5.0,29457
p227_029,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_029_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_029_16k.wav,p227,restaurant,0.0,35351
p227_030,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_030_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_030_16k.wav,p227,ssn,15.0,52810
